what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646388240771
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646388246617
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646388247422
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646388247435
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646388247464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646388248353
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646388256443
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646388256450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646388256477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646388257315
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646388257992
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646388258002
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646388258021
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646388259124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646388259814
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646388259822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646388259847
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646388312371
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646388313239
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646388313251
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646388313267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646388366224
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646389657002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646389660238
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646412874028
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646412880579
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646412914869
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646412918916
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646412933023
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1646412935329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646412949656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646412955872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646412961995
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646413105575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646413111212
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646413284458
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1646413284489
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646413285728
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646413287345
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1646413289022
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646413293028
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646413381074
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1646415107380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646415109709
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646415163916
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1646415164525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646415168435
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646415315655
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1646415318345
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646415321113
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646415462897
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1646415465228
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1646415484208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646415485887
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646415713676
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1646415715314
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1646415718075
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646415719530
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646415861288
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1646415866201
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1646415866233
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1646415867630
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1646415867667
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1646415867708
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1646415868440
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1646415881332
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1646415904598
